CustomerID,Name,Region,CustomerSince,LifetimePurchaseAmtUSD,PreferredContactMethod
1117.0,AMANDA LANG,north,2024-04-14,97.54,sms
1118.0,BRIANA ALVARADO,south,2022-03-18,645.52,sms
1119.0,CAMERON HERNANDEZ,east,2022-08-08,875.54,call
1120.0,DANIEL MEYER,south,2024-03-15,103.55,email
1121.0,STEPHANIE GARRISON,east,2020-08-21,765.45,email
1122.0,CHRISTOPHER MARTINEZ,east,2021-10-07,452.58,call
1123.0,COLLEEN GREENE,south-west,2022-08-21,342.51,call
1124.0,MEGAN NOVAK,east,2022-12-19,398.75,sms
1125.0,DEBBIE ANDREWS,west,2021-05-22,342.21,sms
1126.0,LEE LUNA,east,2021-01-19,462.0,sms
1127.0,GEORGE EDWARDS,central,2023-05-12,123.42,call
1128.0,VINCENT DAY,north,2022-07-03,214.58,email
1129.0,KARINA JONES,east,2023-11-05,134.65,sms
1130.0,MARY SANDOVAL,north,2020-10-06,548.75,call
1131.0,MARK GOMEZ,west,2020-06-11,569.45,email
1132.0,SCOTT WINTERS,west,2022-09-20,342.25,email
1133.0,VICTOR WAGNER,south-west,2021-06-12,267.52,call
1134.0,JOSEPH AGUILAR,west,2023-12-05,214.25,call
1135.0,CHRISTOPHER CHEN,south,2023-09-10,222.45,call
1136.0,SCOTT HERNANDEZ,south,2024-02-09,87.52,sms
1137.0,JESSICA HARMON,south-west,2022-11-05,234.53,sms
1138.0,BONNIE STEWART,south,2022-04-19,612.25,call
1139.0,HEATHER OLSON,central,2021-04-20,454.52,email
1140.0,CARLA FLORES,east,2020-09-30,1097.52,sms
1141.0,DAVID PALMER,north,2022-09-16,458.54,email
1142.0,MARVIN HAMILTON,north,2022-04-23,734.22,call
1143.0,MISS CHELSEA CASTRO DDS,central,2021-02-23,785.54,sms
1144.0,BRIAN BROWNING,east,2023-05-03,432.25,sms
1145.0,STEPHANIE POWELL,east,2023-02-03,434.46,sms
1146.0,JONATHAN ANDRADE,south-west,2020-06-07,947.77,email
1147.0,WILLIAM PALMER,south-west,2023-08-14,423.25,sms
1148.0,DEAN ALLISON,west,2021-06-23,642.52,sms
1149.0,JORDAN ELLIOTT,north,2020-05-13,254.88,email
1150.0,BOBBY HUNTER,north,2020-12-06,645.41,sms
1151.0,SABRINA LESTER,west,2022-07-16,425.21,call
1152.0,THOMAS GARCIA,east,2022-09-14,142.25,email
1153.0,MICHELLE MARTINEZ,east,2023-07-31,165.52,sms
1154.0,EDWARD CASTILLO,north,2020-10-01,754.45,sms
1155.0,RACHEL GOODMAN,north,2023-04-10,123.45,call
1156.0,DENNIS ACEVEDO,east,2023-06-18,165.54,email
1157.0,CHERYL WU,west,2021-12-10,687.44,call
1158.0,KELLY GALLAGHER,east,2024-03-02,132.25,email
1159.0,KELLI SMITH,north,2022-01-28,199.54,call
1160.0,PHILLIP SOTO,west,2023-04-21,154.22,sms
1161.0,DAVID ELLIS,east,2023-01-02,185.54,sms
1162.0,DEBORAH RICE,east,2022-01-14,285.74,sms
1163.0,ELIZABETH VAUGHN,west,2023-05-01,201.99,call
1164.0,WILLIAM RAMSEY,north,2023-05-04,175.88,email
1165.0,RICHARD BURNETT,central,2022-07-24,268.55,sms
1166.0,DAVID MCCULLOUGH,south-west,2021-12-15,345.58,call
1167.0,TERRY FREDERICK,north,2021-12-20,387.44,email
1168.0,DENISE GONZALES,south,2022-05-02,365.66,email
1169.0,MICHAEL EDWARDS,south-west,2023-09-26,248.54,call
1170.0,ERIC DAVIS,north,2023-10-15,285.96,call
1171.0,RONALD MARQUEZ,south-west,2024-04-21,74.55,call
1172.0,ERIC BARR,east,2023-02-01,154.64,sms
1173.0,DAVID KING MD,north,2022-09-14,333.45,sms
1174.0,DEBORAH SAUNDERS,west,2021-12-25,467.5,call
1175.0,TERESA LOPEZ,west,2021-10-20,185.54,email
1176.0,ASHLEY WILLIAMS,east,2021-11-24,178.4,sms
1177.0,KATHERINE WEST,east,2020-11-01,125.74,email
1178.0,KATHERINE KERR,east,2020-11-13,11.58,call
1179.0,DESIREE MILLER,east,2021-12-21,468.88,sms
1180.0,JENNIFER SMITH,south-west,2020-10-03,201.59,call
1181.0,TIFFANY SMITH,east,2024-04-07,164.5,sms
1182.0,JAMES GRAY,west,2020-07-24,13.55,email
1183.0,KENNETH GRAVES,east,2020-05-08,874.5,sms
1184.0,BRITTNEY CHEN,east,2023-07-20,324.4,sms
1185.0,CAMERON LEVINE,east,2021-07-26,684.5,email
1186.0,TIMOTHY WILLIAMS,west,2021-09-28,125.66,sms
1187.0,KAYLA SOLOMON,north,2022-06-10,190.5,call
1188.0,ASHLEY TODD,north,2023-09-04,177.5,email
1189.0,JENNIFER FARRELL,north,2022-11-18,16.45,sms
1190.0,ELIZABETH ROBINSON,south-west,2023-12-27,189.5,sms
1191.0,KYLE SMITH JR.,south,2023-10-31,1.99,call
1192.0,GREGORY MEDINA,east,2020-06-06,46.88,email
1193.0,NANCY KING,south,2022-05-23,134.4,sms
1194.0,CASEY BROWN,central,2024-02-09,145.5,email
1195.0,MICHAEL LEE,south-west,2023-08-22,19.58,call
1196.0,DR. ELIZABETH JOHNSTON DDS,north,2022-02-09,71.53,sms
1197.0,WILLIAM WILSON,west,2023-04-04,124.85,sms
1198.0,CHRIS ALLEN,south-west,2022-10-11,15.55,sms
1199.0,JAMES COOLEY,west,2020-07-23,164.52,call
1005.0,JESSICA MORA,south,2021-08-05,467.5,email
1062.0,ASHLEY HARMON,south,2024-02-13,46.52,call
1071.0,CHRISTOPHER FROST,east,2020-08-21,32.0,sms
1077.0,AMY ESPINOZA,north,2021-05-29,455.5,email
1085.0,STEVEN WRIGHT,central,2021-08-22,23.54,email
1092.0,TIMOTHY HILL,west,2023-09-07,168.0,email
1148.0,DEAN ALLISON,west,2021-06-23,43.52,sms
1154.0,EDWARD CASTILLO,north,2020-10-01,524.5,sms
1159.0,KELLI SMITH,north,2022-01-28,75.45,call
1164.0,WILLIAM RAMSEY,north,2023-05-04,12.5,email
1169.0,MICHAEL EDWARDS,south-west,2023-09-26,130.5,call
1172.0,ERIC BARR,east,2023-02-01,10.54,sms
1181.0,TIFFANY SMITH,east,2024-04-07,254.58,sms
1186.0,TIMOTHY WILLIAMS,west,2021-09-28,90.54,sms
1192.0,GREGORY MEDINA,east,2020-06-06,20.57,email
